Path	Group	QCDPt15to30	QCDPt30to50	QCDPt50to80	QCDPt80to120	QCDPt120to170	QCDPt170to300	QCDPt300to470	QCDPt470to600	QCDPt600to800	DYToEE	DYToMuMu	WToENu	WToMuNu	QCDPt30to80EMEnriched	QCDPt80to170EMEnriched	QCDPt30to50MuEnrichedPt5PionKaonDecay	QCDPt50to80MuEnrichedPt5PionKaonDecay	QCDPt80to120MuEnrichedPt5PionKaonDecay	
HLT_PFMET90_PFMHT90_IDTight_v1	HIG,HIG	0	26	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_v2	HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu30_Ele30_CaloIdL_GsfTrkIdVL_v2	EXO,B2G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Dimuon13_PsiPrime_v1	BPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu7p5_Track2_Upsilon_v2	BPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_QuadJet45_TripleBTagCSV0p67_v2	HIG	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	
HLT_Mu10_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT350_PFMETNoMu60_v2	NoGroup	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_v1	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_VBF_DisplacedJet40_VTightID_Hadronic_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_IsoMu17_eta2p1_v2	TAU,HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
